"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://knightlogics.com/","text/html; charset=utf-8","200","OK","Indexable","","24","0.063","",""
"https://knightlogics.com/style.min.css?v=20260428m","text/css; charset=utf-8","200","OK","Indexable","","0","0.082","",""
"https://knightlogics.com/case-study-screen-team","text/html; charset=utf-8","200","OK","Indexable","","25","0.085","",""
"https://knightlogics.com/images/ManCavesLogo.webp","image/webp","200","OK","Indexable","","0","0.155","",""
"https://knightlogics.com/pricing","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","58","0.099","https://knightlogics.com/pricing","Meta Refresh Redirect"
"https://knightlogics.com/images/videoforge-app-icon.webp","image/webp","200","OK","Indexable","","0","0.065","",""
"https://knightlogics.com/images/KnightGroup-HomeImage.webp","image/webp","200","OK","Indexable","","0","0.049","",""
"https://knightlogics.com/images/upwork-icon.svg","image/svg+xml","200","OK","Indexable","","0","0.076","",""
"https://screenteamllc.com/Images/ScreenTeamBanner.png","image/png","200","OK","Indexable","","0","0.048","",""
"https://knightlogics.com/images/JNS-HomeImage.webp","image/webp","200","OK","Indexable","","0","0.075","",""
"https://momsresintables.com/assets/images/picwish_8813969001_image1.webp","image/webp","200","OK","Indexable","","0","0.052","",""
"https://g.page/r/CWeaMKYSTGRIEAI/review","application/binary","302","Found","Non-Indexable","Redirected","24","0.027","https://g.page/r/CWeaMKYSTGRIEAI/review/","HTTP Redirect"
"https://knightlogics.com/pixelforge-ai","text/html; charset=utf-8","200","OK","Indexable","","26","0.079","",""
"https://www.linkedin.com/company/knight-logics/","text/html; charset=utf-8","200","OK","Indexable","","25","0.373","",""
"https://knightlogics.com/service-desktop-apps","text/html; charset=utf-8","200","OK","Indexable","","37","0.079","",""
"https://www.google.com/maps/place/Knight+Logics/data=!4m2!3m1!1s0x0:0x48644c12a6309a67?hl=en&ictx=111","text/html; charset=UTF-8","200","OK","Indexable","","24","0.176","",""
"https://discord.gg/mdMEVVmY","text/plain;charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","25","0.016","https://discord.com/invite/mdMEVVmY","HTTP Redirect"
"https://knightlogics.com/images/B-Magic's%20Auto%20Vid%20Compiler.png","image/png","200","OK","Indexable","","0","0.106","",""
"https://knightgroup.com/","text/html","301","Moved Permanently","Non-Indexable","Redirected","24","0.037","https://www.knightgroup.com/","HTTP Redirect"
"https://knightlogics.com/case-study-jns","text/html; charset=utf-8","200","OK","Indexable","","25","0.053","",""
"https://knightlogics.com/images/aboutimg.webp","image/webp","200","OK","Indexable","","0","0.071","",""
"https://knightlogics.com/case-study-knight-group","text/html; charset=utf-8","200","OK","Indexable","","25","0.075","",""
"https://knightlogics.com/service-websites","text/html; charset=utf-8","200","OK","Indexable","","66","0.056","",""
"https://github.com/Knight-Logics/Auto-Video-Editor-and-Compiler/releases/download/v1.0/BMagic_AutoVidCompiler_PERFECT.exe","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","26","","",""
"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d901796.8024175643!2d-82.53818595!3d28.00479355!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x67445fbcc25df4ab%3A0x48644c12a6309a67!2sKnight%20Logics!5e0!3m2!1sen!2sus!4v1775166692857!5m2!1sen!2sus","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://momsresintables.com/","text/html; charset=utf-8","200","OK","Indexable","","26","0.074","",""
"https://knightlogics.com/images/Display-Control-Plus-Logo.webp","image/webp","200","OK","Indexable","","0","0.058","",""
"https://github.com/Knight-Logics/display-control-plus/releases/latest","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","24","0.089","https://github.com/Knight-Logics/display-control-plus/releases/tag/v1.0.16","HTTP Redirect"
"https://knightlogics.com/book-consultation","text/html; charset=utf-8","200","OK","Indexable","","51","0.047","",""
"https://www.youtube.com/@Knight-Logics","text/html; charset=utf-8","200","OK","Indexable","","25","0.084","",""
"https://knightlogics.com/videoforge","text/html; charset=utf-8","200","OK","Indexable","","27","0.070","",""
"https://knightlogics.com/service-ai-automation","text/html; charset=utf-8","200","OK","Indexable","","25","0.050","",""
"https://knightlogics.com/images/youtube-icon.webp","image/webp","200","OK","Indexable","","0","0.073","",""
"https://knightlogics.com/images/GithubIcon.webp","image/webp","200","OK","Indexable","","0","0.074","",""
"https://knightlogics.com/contact","text/html; charset=utf-8","200","OK","Indexable","","78","0.051","",""
"https://knightlogics.com/images/pixelforge_logo.webp","image/webp","200","OK","Indexable","","0","0.081","",""
"https://knightlogics.com/images/linkedin-icon.webp","image/webp","200","OK","Indexable","","0","0.050","",""
"https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0.027","",""
"https://knightlogics.com/case-study-moms-resin-tables","text/html; charset=utf-8","200","OK","Indexable","","26","0.054","",""
"https://knightlogics.com/script.min.js?v=20260512a","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.085","",""
"https://knightlogics.com/display-control-plus","text/html; charset=utf-8","200","OK","Indexable","","50","0.045","",""
"https://knightlogics.com/service-ecommerce","text/html; charset=utf-8","200","OK","Indexable","","24","0.048","",""
"https://www.upwork.com/freelancers/~012b2336fd2530d7ab","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","25","0.072","",""
"https://mancavesstore.vercel.app/","text/html; charset=utf-8","200","OK","Indexable","","24","0.123","",""
"https://knightlogics.com/images/discord-icon.webp","image/webp","200","OK","Indexable","","0","0.047","",""
"https://farrell-electric.github.io/farrell-electric-website/","text/html; charset=utf-8","200","OK","Indexable","","26","0.094","",""
"https://github.com/Knight-Logics/display-control-plus/releases/download/v1.0.16/DisplayControlSetup_v1.0.16.exe","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","2","","",""
"https://knightlogics.com/images/Knight%20Group%20Logo.webp","image/webp","200","OK","Indexable","","0","0.071","",""
"https://pagespeed.web.dev/report?url=https%3A%2F%2Fmomsresintables.com%2F","application/binary","302","Found","Non-Indexable","Redirected","1","0.146","https://pagespeed.web.dev/analysis?url=https://momsresintables.com/","HTTP Redirect"
"https://github.com/Knight-Logics","text/html; charset=utf-8","200","OK","Indexable","","25","0.546","",""
"https://knightlogics.com/auto-vid-compiler","text/html; charset=utf-8","200","OK","Indexable","","1","0.083","",""
"https://search.google.com/test/rich-results?url=https%3A%2F%2Fmomsresintables.com%2F","text/html; charset=utf-8","200","OK","Indexable","","1","0.088","",""
"https://knightlogics.com/images/B-Magic%27s%20Auto%20Vid%20Compiler.webp","image/webp","200","OK","Indexable","","0","0.085","",""
"https://www.youtube.com/@KnightLogics","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.064","",""
"https://github.com/Knight-Logics/VideoForge-Studio/releases/download/v0.4.4/VideoForge-Studio-Installer.exe","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","2","","",""
"https://knightlogics.com/script.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.106","",""
"https://github.com/Knight-Logics/Auto-Video-Editor-and-Compiler/releases/tag/v1.0","text/html; charset=utf-8","200","OK","Indexable","","26","0.497","",""
"https://knightlogics.com/style.css","text/css; charset=utf-8","200","OK","Indexable","","0","0.090","",""
"https://knightlogics.com/images/ai-orchestrator-logo.png","image/png","200","OK","Indexable","","0","0.223","",""
"https://farrell-electric.github.io/farrell-electric-website/HeroImage.png","image/png","200","OK","Indexable","","0","0.094","",""
"https://knightlogics.com/case-study-sals-painting","text/html; charset=utf-8","200","OK","Indexable","","1","0.082","",""
"https://knightlogics.com/images/JNS%20-%20HomeImage.png","image/png","200","OK","Indexable","","0","0.193","",""
