"Chain Type","Number of Redirects","Loop","Source","Temp Redirect in Chain","Address","Final Address","Final Indexability","Final Indexability Status","Final Content","Final Status Code","Final Status","Alt Text","Anchor Text","Link Path","Link Position","Content 1","Status Code 1","Status 1","Redirect Type 1","Redirect URL 1","Content 2","Status Code 2","Status 2","Redirect Type 2","Redirect URL 2","Content 3","Status Code 3","Status 3","Redirect Type 3","Redirect URL 3","Content 4","Status Code 4","Status 4","Redirect Type 4","Redirect URL 4","Content 5","Status Code 5","Status 5","Redirect Type 5","Redirect URL 5","Content 6","Status Code 6","Status 6","Redirect Type 6","Redirect URL 6","Content 7","Status Code 7","Status 7","Redirect Type 7","Redirect URL 7","Content 8","Status Code 8","Status 8","Redirect Type 8","Redirect URL 8","Content 9","Status Code 9","Status 9","Redirect Type 9","Redirect URL 9","Content 10","Status Code 10","Status 10","Redirect Type 10","Redirect URL 10"
"Meta Refresh Redirect","1","true","https://knightlogics.com/","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","Explore Growth Systems","//body/section[@id='starter-packages']/div[@class='container']/div/div[3]/article[4]/a","Content","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","View Full Pricing & Add-Ons →","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/pricing","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","Website Packages","//body/section[@class='pricing-hero']/div/nav/a[@class='pricing-nav-pill'][1]","Navigation","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/pricing","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","E-Commerce","//body/section[@class='pricing-hero']/div/nav/a[@class='pricing-nav-pill'][2]","Navigation","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/pricing","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","Growth & CRM","//body/section[@class='pricing-hero']/div/nav/a[@class='pricing-nav-pill'][3]","Navigation","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/pricing","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","Monthly Plans","//body/section[@class='pricing-hero']/div/nav/a[@class='pricing-nav-pill'][4]","Navigation","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/pricing","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","Add-On Menu","//body/section[@class='pricing-hero']/div/nav/a[@class='pricing-nav-pill'][5]","Navigation","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/pricing","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","Search & SEO","//body/section[@class='pricing-hero']/div/nav/a[@class='pricing-nav-pill'][6]","Navigation","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/pricing","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","","//head/link[1]","Head","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/pricing","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","","//head/meta[7]","Head","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/service-websites","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","View Full Pricing & Add-Ons →","//body/section[@id='pricing']/div/div[10]/a[1]","Content","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/book-consultation","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","Compare Pricing","//body/section[1]/div/div/a[2]","Content","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
"Meta Refresh Redirect","1","true","https://knightlogics.com/contact","true","https://knightlogics.com/pricing","https://knightlogics.com/pricing","Non-Indexable","noindex","text/html; charset=utf-8","200","OK","","Compare Pricing","//body/section[@class='contact-page-hero']/div/div/a[2]","Content","text/html; charset=utf-8","200","OK","Meta Refresh Redirect","https://knightlogics.com/pricing","Loop Detected"
